ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-06-01,37.44542187993855,36.588262074075786,38.51023523845811,37.44542187993855,37.44542187993855,0.08645416080015474,0.08645416080015474,0.08645416080015474,0.08645416080015474,0.08645416080015474,0.08645416080015474,0.0,0.0,0.0,37.5318760407387
2023-06-07,37.457803043284585,36.3039160493021,38.22060152966347,37.457803043284585,37.457803043284585,-0.20383167616284326,-0.20383167616284326,-0.20383167616284326,-0.20383167616284326,-0.20383167616284326,-0.20383167616284326,0.0,0.0,0.0,37.25397136712174
2023-06-10,37.4639936249576,36.5860511646646,38.45274459567019,37.4639936249576,37.4639936249576,0.09856749251297604,0.09856749251297604,0.09856749251297604,0.09856749251297604,0.09856749251297604,0.09856749251297604,0.0,0.0,0.0,37.56256111747058
2023-06-11,37.46605715224433,36.82981013926028,38.80575474913466,37.46605715224433,37.46605715224433,0.3337000193572626,0.3337000193572626,0.3337000193572626,0.3337000193572626,0.3337000193572626,0.3337000193572626,0.0,0.0,0.0,37.79975717160159
2023-06-12,37.46812067953106,36.525247024725154,38.40247069063981,37.46812067953106,37.46812067953106,-0.018942517223392217,-0.018942517223392217,-0.018942517223392217,-0.018942517223392217,-0.018942517223392217,-0.018942517223392217,0.0,0.0,0.0,37.44917816230767
2023-06-17,37.47843831594569,36.59877086476797,38.58464392484138,37.47843831594569,37.47843831594569,0.09856749251338091,0.09856749251338091,0.09856749251338091,0.09856749251338091,0.09856749251338091,0.09856749251338091,0.0,0.0,0.0,37.57700580845907
2023-06-18,37.480501843228616,36.88887385377343,38.72692314281435,37.480501843228616,37.480501843228616,0.3337000193573048,0.3337000193573048,0.3337000193573048,0.3337000193573048,0.3337000193573048,0.3337000193573048,0.0,0.0,0.0,37.81420186258592
2023-06-20,37.48462889779447,36.19064492734812,38.16061861337616,37.48462889779447,37.48462889779447,-0.2979988030690764,-0.2979988030690764,-0.2979988030690764,-0.2979988030690764,-0.2979988030690764,-0.2979988030690764,0.0,0.0,0.0,37.186630094725395
2023-06-22,37.488755952479075,36.63740930092295,38.55045601263474,37.488755952479075,37.488755952479075,0.08645416079988227,0.08645416079988227,0.08645416079988227,0.08645416079988227,0.08645416079988227,0.08645416079988227,0.0,0.0,0.0,37.575210113278956
2023-06-29,37.50320064387522,36.690297003672214,38.528556790001296,37.50320064387522,37.50320064387522,0.086454160799863,0.086454160799863,0.086454160799863,0.086454160799863,0.086454160799863,0.086454160799863,0.0,0.0,0.0,37.58965480467508
2023-07-01,37.50732769855982,36.58726555896309,38.563783940517695,37.50732769855982,37.50732769855982,0.09856749251363149,0.09856749251363149,0.09856749251363149,0.09856749251363149,0.09856749251363149,0.09856749251363149,0.0,0.0,0.0,37.60589519107345
2023-07-03,37.51145475338182,36.508417666005215,38.45459063881844,37.51145475338182,37.51145475338182,-0.01894251722267127,-0.01894251722267127,-0.01894251722267127,-0.01894251722267127,-0.01894251722267127,-0.01894251722267127,0.0,0.0,0.0,37.49251223615915
2023-07-05,37.51558180820382,36.37412697235872,38.30871603773287,37.51558180820382,37.51558180820382,-0.20383167616202674,-0.20383167616202674,-0.20383167616202674,-0.20383167616202674,-0.20383167616202674,-0.20383167616202674,0.0,0.0,0.0,37.311750132041794
2023-07-06,37.51764533561482,36.557815829106644,38.583885786204874,37.51764533561482,37.51764533561482,0.08645416079984374,0.08645416079984374,0.08645416079984374,0.08645416079984374,0.08645416079984374,0.08645416079984374,0.0,0.0,0.0,37.60409949641467
2023-07-11,37.52796297235253,36.32595235790982,38.168661373708446,37.52796297235253,37.52796297235253,-0.2979988030689034,-0.2979988030689034,-0.2979988030689034,-0.2979988030689034,-0.2979988030689034,-0.2979988030689034,0.0,0.0,0.0,37.22996416928363
2023-07-13,37.532090027047616,36.71312475031669,38.7007378734665,37.532090027047616,37.532090027047616,0.08645416079960982,0.08645416079960982,0.08645416079960982,0.08645416079960982,0.08645416079960982,0.08645416079960982,0.0,0.0,0.0,37.61854418784723
2023-07-15,37.536217081811486,36.67293326046768,38.61351403005477,37.536217081811486,37.536217081811486,0.09856749251312112,0.09856749251312112,0.09856749251312112,0.09856749251312112,0.09856749251312112,0.09856749251312112,0.0,0.0,0.0,37.634784574324605
2023-07-18,37.54240766395729,36.319345004961605,38.23903596652902,37.54240766395729,37.54240766395729,-0.29799880306895266,-0.29799880306895266,-0.29799880306895266,-0.29799880306895266,-0.29799880306895266,-0.29799880306895266,0.0,0.0,0.0,37.24440886088834
2023-07-20,37.54653471872117,36.7415778932807,38.627965895171776,37.54653471872117,37.54653471872117,0.08645416079959055,0.08645416079959055,0.08645416079959055,0.08645416079959055,0.08645416079959055,0.08645416079959055,0.0,0.0,0.0,37.63298887952076
